S. No.,F.Y.,Location,Month,PO No.,PO STATUS,Type,PO Value,Variation,Revised PO Value,Certified Value,Vendor Debit / Credit,Final Certified Value(K-L),Project,Vendor Name,Vendor Code,Category,Amount Paid,Final Payables,Total Invoice value,Credit Note/ Debit Note,Final Invoice value,Invoice Needed as per Certification,Invoice Needed as per Paid Amount,Advance,RA 1,RA 2,RA 3,RA 4,RA 5,RA 6,RA 7,RA 8,RA9,RA10,Final,TDS,PO vs Amount Paid %,Invoice No.1,Invoice Date1,Inv_Amount1,Invoice No._2,Invoice Date_2,Inv_Amount_2,Invoice No. _3,Invoice Date_3,Inv_Amount_3,Invoice No. _4,Invoice Date. _4,Inv_Amount_4,Invoice No. _5,Invoice Date. _5,Inv_Amount_5,Invoice No. _6,Invoice Date. _6,Inv_Amount_6,Invoice No. _7,Invoice Date. _7,Inv_Amount_7,Max_Inv_Date,Reason,Debit Note Status,Remarks,,Project Code
22,25-26,,Apr,LAIPL/PO/25-26/006,Billed,,"19,022",0,"19,022","19,022",,"19,022",VMAN,Interio Mart,VEN-012,,"19,022",0,"19,022",,"19,022",0,0,"9,511",,"9,511",,,,,,,,,,,#DIV/0!,25-26/0043,24-05-25,19022,25-26/0043,,,,,,,,,,,,,,,,,,,,,,,#REF!
23,25-26,,May,LAIPL/PO/25-26/007,Open,,"94,400",0,"94,400","94,400",,"94,400",VMAN,Resin and Ritesh Pvt Ltd,VEN-021,,"94,400",0,0,,0,"94,400","94,400","47,200","47,200",,,,,,,,,,,,#DIV/0!,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
24,25-26,,May,LAIPL/PO/25-26/008,Billed,,"63,366",0,"63,366","63,366",,"63,366",UBITECH,Interio Mart,VEN-012,,"60,198","3,168",0,,0,"63,366","60,198","26,850",,"33,348",,,,,,,,,,,95%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
25,25-26,,May,LAIPL/PO/25-26/009,Cancelled,,"3,178,308","3,178,308",0,0,,0,UBITECH,Comfort Aircon,VEN-015,,0,0,0,,0,0,0,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
26,25-26,,May,LAIPL/PO/25-26/010,Open,,"160,657",0,"160,657","160,657",,"160,657",VMAN,MR CHAIR,VEN-026,,"160,657",0,0,,0,"160,657","160,657","36,640","64,263","59,754",,,,,,,,,,,#DIV/0!,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
27,25-26,,May,LAIPL/PO/25-26/011,Open,,"2,286,189",0,"2,286,189","2,286,189",,"2,286,189",CASHIFY,Vasudev Enterprises,VEN-013,,"1,476,582","809,607","1,770,000","-516,189","2,286,189","516,189","-293,418","170,883","116,828","271,629","200,000","200,000","100,000","130,000","200,000","60,000",,,,"27,242",65%,,,590000,,,590000,,,"590,000",,,,,,,,,,,,,,,,,,#REF!
28,25-26,,May,LAIPL/PO/25-26/012,Open,,"493,240",0,"493,240","493,240",,"493,240",PINNACLE COWORKING,MR CHAIR,VEN-026,,"493,240",0,0,,0,"493,240","493,240","100,000","100,000","200,000","93,240",,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
29,25-26,,May,LAIPL/PO/25-26/013,Open,,"336,654",0,"336,654","336,654",,"336,654",PINNACLE COWORKING,Waymore Engineering Pvt Ltd,VEN-014,,"353,917","-17,263",0,,0,"336,654","353,917","85,590","100,000","168,327",,,,,,,,,,,105%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
30,25-26,,May,LAIPL/PO/25-26/014,Open,,"82,600",0,"82,600","82,600",,"82,600",UBITECH,MBN SPACE SOLUTIONS,VEN-027,,"60,200","22,400",0,,0,"82,600","60,200","60,200",,,,,,,,,,,,,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
31,25-26,,May,LAIPL/PO/25-26/015,Billed,,"2,242,118",0,"2,242,118","2,242,118",,"2,242,118",CASHIFY,Waymore Engineering Pvt Ltd,VEN-014,,"2,242,118",0,0,,0,"2,242,118","2,242,118","380,020","247,013","715,085","250,000","300,000","250,000","100,000",,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
